ID,year,region,wine,beer,vodka,champagne,brandy
1,2000,Republic of Adygea,3.1,27.4,5.4,0.6,0.1
2,2000,Altai Krai,2.1,33.2,9.9,1.3,0.1
3,2000,Amur Oblast,2.4,28.5,15.8,0.7,0.2
4,2000,Arkhangelsk Oblast,5.5,29.3,19.2,0.9,0.5
5,2000,Astrakhan Oblast,3.7,31,10,0.6,0.1
6,2000,Republic of Bashkortostan,1.4,33.1,12.2,0.2,0.2
7,2000,Belgorod Oblast,3.6,20.7,10.1,0.9,0.1
8,2000,Bryansk Oblast,3,36.4,7.6,0.4,0.1
9,2000,Republic of Buryatia,1.6,17.1,16.6,0.6,0.03
10,2000,Vladimir Oblast,2.3,22.1,14.5,0.5,0.1
11,2000,Volgograd Oblast,1.8,40.9,9,1.9,0.3
12,2000,Vologda Oblast,3.7,33.2,19.2,0.5,0.2
13,2000,Voronezh Oblast,3.4,24.8,9.1,1.2,0.2
14,2000,Republic of Dagestan,3.8,1.8,1,0.2,0.1
15,2000,Jewish Autonomous Oblast,4.8,13.4,12.2,0.5,0.1
16,2000,Zabaykalsky Krai,1.9,16.4,7,0.3,0.1
17,2000,Ivanovo Oblast,2.5,47.5,14.2,0.2,0.1
18,2000,Republic of Ingushetia,,,,,
19,2000,Irkutsk Oblast,6,39.4,15.5,1.3,0.5
20,2000,Kabardino-Balkar Republic,2.5,17.3,10.5,0.6,0.4
21,2000,Kaliningrad Oblast,3.2,38.4,15.8,1.3,0.8
22,2000,Republic of Kalmykia,3.2,9.1,14.2,0.9,0.1
23,2000,Kaluga Oblast,2.2,30.4,9,0.6,0.2
24,2000,Kamchatka Krai,7.1,32.7,26.6,0.8,0.4
25,2000,Karachay-Cherkess Republic,2.2,7.4,12.9,0.2,0.1
26,2000,Republic of Karelia,2.8,24.9,17.2,0.4,0.2
27,2000,Kemerovo Oblast,2.3,26.6,17.3,0.6,0.2
28,2000,Kirov Oblast,1.8,15.5,12.8,0.3,0.1
29,2000,Kostroma Oblast,1.3,24,15.2,0.3,0.1
30,2000,Krasnodar Krai,7,42.6,8.7,1.4,0.3
31,2000,Krasnoyarsk Krai,4.7,40.5,14.9,1.6,0.3
32,2000,Republic of Crimea,,,,,
33,2000,Kurgan Oblast,2.9,26.6,13,0.6,0.1
34,2000,Kursk Oblast,1.6,33,6.1,0.5,0.1
35,2000,Leningrad Oblast,3.8,37.7,14.7,1.3,0.3
36,2000,Lipetsk Oblast,2.3,31.9,9.3,0.7,0.2
37,2000,Magadan Oblast,4.3,24.6,23.9,1.8,0.2
38,2000,Mari El Republic,1.8,21,8.3,0.3,0.1
39,2000,Republic of Mordovia,1.4,15.9,10.9,0.3,0.1
40,2000,Moscow,6.3,61.8,18.8,3.9,0.6
41,2000,Moscow Oblast,3.1,22.6,17.2,0.6,0.3
42,2000,Murmansk Oblast,4.4,29.9,18.8,1.7,0.6
43,2000,Nenets Autonomous Okrug,5.5,29.3,19.2,0.9,0.5
44,2000,Nizhny Novgorod Oblast,3.9,27.3,9.7,1,0.1
45,2000,Novgorod Oblast,4.6,39.8,12.8,0.4,0.2
46,2000,Novosibirsk Oblast,2.6,37.3,20.7,1.6,0.2
47,2000,Omsk Oblast,4.6,41.5,10.3,0.6,0.3
48,2000,Orenburg Oblast,1.6,31.5,9.5,0.7,0.1
49,2000,Oryol Oblast,3.2,31.1,14.8,1.2,0.4
50,2000,Penza Oblast,1.8,27,6.4,0.3,0.1
51,2000,Perm Krai,4.1,30.7,20,1.3,0.3
52,2000,Primorsky Krai,1.8,25.1,15,0.6,0.2
53,2000,Pskov Oblast,7.1,22,12.9,0.5,0.1
54,2000,Altai Republic,5.4,12.1,9.8,0.7,0.1
55,2000,Komi Republic,4.6,35.1,27.4,1.9,0.4
56,2000,Tuva Republic,1.6,24.4,11.3,0.1,0.4
57,2000,Rostov Oblast,5.5,30,7.9,2.2,0.2
58,2000,Ryazan Oblast,2.1,32.2,13.3,1.2,0.1
59,2000,Samara Oblast,2.1,29.4,7.6,1.5,0.2
60,2000,Saint Petersburg,4.4,68.2,14.7,2,0.9
61,2000,Saratov Oblast,2,22.1,7.4,1.3,0.2
62,2000,Sakhalin Oblast,2.6,21.8,18.8,0.5,0.1
63,2000,Sverdlovsk Oblast,4,42.5,13.6,1,0.4
64,2000,Sevastopol,,,,,
65,2000,Republic of North Ossetia-Alania,2.6,19.9,9.8,1.3,0.1
66,2000,Smolensk Oblast,4.9,55.3,21.2,0.8,0.2
67,2000,Stavropol Krai,6.4,25.9,13.7,1.1,0.3
68,2000,Tambov Oblast,2.1,22.5,11.6,1.1,0.2
69,2000,Republic of Tatarstan,1.3,33.4,14.8,0.4,0.1
70,2000,Tver Oblast,4,33.7,17.1,0.7,0.3
71,2000,Tomsk Oblast,5.3,32,14.8,0.8,0.1
72,2000,Tula Oblast,2.7,36.4,13.2,0.6,0.1
73,2000,Tyumen Oblast,4.6,36.9,18,0.8,0.3
74,2000,Udmurt Republic,1.5,20.1,13.4,0.3,0.1
75,2000,Ulyanovsk Oblast,0.8,46.1,10.5,0.4,0.1
76,2000,Khabarovsk Krai,4.2,31.9,15.3,0.7,0.4
77,2000,Republic of Khakassia,3,47.9,17,1.4,0.6
78,2000,Khanty–Mansi Autonomous Okrug – Yugra,4.6,36.9,18,0.8,0.3
79,2000,Chelyabinsk Oblast,4.3,46.3,15.7,1,0.2
80,2000,Chechen Republic,,,,,
81,2000,Chuvash Republic,2.9,29.8,9.6,0.5,0.1
82,2000,Chukotka Autonomous Okrug,1,5.2,6.5,1.7,0.2
83,2000,Sakha (Yakutia) Republic,2.6,15.4,15.2,0.6,0.2
84,2000,Yamalo-Nenets Autonomous Okrug,4.6,36.9,18,0.8,0.3
85,2000,Yaroslavl Oblast,3.5,57.1,18.3,1.5,0.3
86,2001,Republic of Adygea,3.8,22,7.8,0.5,0.1
87,2001,Altai Krai,2.3,39.5,12,1.4,0.1
88,2001,Amur Oblast,2.6,31.2,17.6,0.6,0.2
89,2001,Arkhangelsk Oblast,7,47.6,23.5,1.2,0.9
90,2001,Astrakhan Oblast,3.8,42.6,11.9,0.8,0.1
91,2001,Republic of Bashkortostan,1.2,34.9,10.9,0.3,0.1
92,2001,Belgorod Oblast,3.4,23.2,9.5,0.8,0.1
93,2001,Bryansk Oblast,2.7,41.6,8,0.4,0.1
94,2001,Republic of Buryatia,1.7,11.7,18.7,0.6,0.1
95,2001,Vladimir Oblast,2.4,28.5,15.3,0.6,0.1
96,2001,Volgograd Oblast,2.1,42.5,11.9,1.8,0.3
97,2001,Vologda Oblast,7.8,50.5,23,0.5,0.3
98,2001,Voronezh Oblast,3.6,37.7,9.2,1.5,0.2
99,2001,Republic of Dagestan,4.6,3.3,1.8,0.4,0.1
100,2001,Jewish Autonomous Oblast,5.1,17.8,12,0.4,0.1
101,2001,Zabaykalsky Krai,3.5,23.8,8.6,0.4,0.1
102,2001,Ivanovo Oblast,3.3,60.7,16.5,0.3,0.1
103,2001,Republic of Ingushetia,9.9,9.5,4,1.3,1.5
104,2001,Irkutsk Oblast,7.1,38.9,11.9,1.4,0.5
105,2001,Kabardino-Balkar Republic,2.7,26.5,12.4,0.4,0.6
106,2001,Kaliningrad Oblast,1.7,44.5,13.3,1.1,0.7
107,2001,Republic of Kalmykia,3.4,13.9,15.4,1.3,0.1
108,2001,Kaluga Oblast,2.5,34.1,12,0.6,0.1
109,2001,Kamchatka Krai,7.4,33.6,26.7,0.9,0.4
110,2001,Karachay-Cherkess Republic,2.3,9.4,13.4,0.2,0.1
111,2001,Republic of Karelia,5.1,28,15.9,0.4,0.2
112,2001,Kemerovo Oblast,2.1,28.6,18.8,0.6,0.2
113,2001,Kirov Oblast,2.8,20.4,14.1,0.4,0.1
114,2001,Kostroma Oblast,3.5,25.4,17.2,0.6,0.2
115,2001,Krasnodar Krai,6.6,48,8.9,1.4,0.3
116,2001,Krasnoyarsk Krai,4.9,59.6,15.4,1.5,0.6
117,2001,Republic of Crimea,,,,,
118,2001,Kurgan Oblast,2.9,34.2,12.2,0.6,0.2
119,2001,Kursk Oblast,1.7,44.5,7.4,0.5,0.1
120,2001,Leningrad Oblast,5,59.7,17.5,1.8,0.4
121,2001,Lipetsk Oblast,2.5,42.9,9.3,0.7,0.2
122,2001,Magadan Oblast,4.7,28.3,23.6,1.4,0.2
123,2001,Mari El Republic,1.6,22.6,10.4,0.3,0.1
124,2001,Republic of Mordovia,1.4,23.5,11.8,0.3,0.1
125,2001,Moscow,5,78.9,19.7,4.2,0.7
126,2001,Moscow Oblast,3.2,23.7,16.8,0.3,0.3
127,2001,Murmansk Oblast,4.6,34.7,19.7,1.8,0.6
128,2001,Nenets Autonomous Okrug,7,47.6,23.5,1.2,0.9
129,2001,Nizhny Novgorod Oblast,4.8,34.7,9.8,0.9,0.2
130,2001,Novgorod Oblast,4.6,34.7,12.6,0.4,0.2
131,2001,Novosibirsk Oblast,2.7,48.4,20.6,1.3,0.3
132,2001,Omsk Oblast,4.6,55.5,12.3,0.6,0.3
133,2001,Orenburg Oblast,2.3,34.6,10.8,0.7,0.2
134,2001,Oryol Oblast,3.4,29.9,12,1.6,0.3
135,2001,Penza Oblast,5.1,30.1,6.8,0.4,0.1
136,2001,Perm Krai,4.1,56.9,15.9,0.8,0.3
137,2001,Primorsky Krai,1.5,26.5,15.2,0.6,0.1
138,2001,Pskov Oblast,9.6,33.5,13.3,0.5,0.1
139,2001,Altai Republic,5.7,18.7,10.6,0.9,0.1
140,2001,Komi Republic,5.6,37.6,28.5,0.8,0.5
141,2001,Tuva Republic,1.6,25.7,9.8,0.1,0.1
142,2001,Rostov Oblast,4.1,39.9,7.1,1.8,0.2
143,2001,Ryazan Oblast,2.4,40.3,13.5,1.4,0.1
144,2001,Samara Oblast,1.8,33.4,8.1,1,0.2
145,2001,Saint Petersburg,6.2,101,15.5,2.4,0.8
146,2001,Saratov Oblast,3,21.7,7.6,1.2,0.2
147,2001,Sakhalin Oblast,4.3,29.7,20.3,0.9,0.2
148,2001,Sverdlovsk Oblast,4.4,44.6,13.7,0.9,0.4
149,2001,Sevastopol,,,,,
150,2001,Republic of North Ossetia-Alania,5.6,15.7,8.9,1.2,0.1
151,2001,Smolensk Oblast,6.6,71.3,23,1,0.2
152,2001,Stavropol Krai,5.9,30.5,12.8,1.2,0.3
153,2001,Tambov Oblast,2.5,22.8,14,1.5,0.3
154,2001,Republic of Tatarstan,1.8,41.9,14.6,0.5,0.1
155,2001,Tver Oblast,5,35.4,18.4,1.4,0.1
156,2001,Tomsk Oblast,5.6,36.3,16.5,0.9,0.2
157,2001,Tula Oblast,3.3,40.1,14.1,0.6,0.2
158,2001,Tyumen Oblast,5.2,49,20.5,0.9,0.5
159,2001,Udmurt Republic,2.1,27,14.1,0.3,0.1
160,2001,Ulyanovsk Oblast,1.1,47.7,9.6,0.3,0.2
161,2001,Khabarovsk Krai,4.3,38.4,21.2,0.5,0.3
162,2001,Republic of Khakassia,3.3,53.6,15.6,1.4,0.6
163,2001,Khanty–Mansi Autonomous Okrug – Yugra,5.2,49,20.5,0.9,0.5
164,2001,Chelyabinsk Oblast,4.4,45.2,16.2,1.2,0.2
165,2001,Chechen Republic,,,,,
166,2001,Chuvash Republic,3,32.2,10.6,0.5,0.1
167,2001,Chukotka Autonomous Okrug,1.4,11,9.8,1.9,0.1
168,2001,Sakha (Yakutia) Republic,2.8,15.5,14.6,0.8,0.2
169,2001,Yamalo-Nenets Autonomous Okrug,5.2,49,20.5,0.9,0.5
170,2001,Yaroslavl Oblast,4.3,71.1,18.6,1.6,0.4
171,2002,Republic of Adygea,4.4,30.4,7.9,0.7,0.3
172,2002,Altai Krai,1.6,42.8,11.4,1.1,0.1
173,2002,Amur Oblast,2.3,35.4,17.9,0.5,0.2
174,2002,Arkhangelsk Oblast,8.1,76.1,29.5,1.5,1.2
175,2002,Astrakhan Oblast,4.1,44,12,0.8,0.2
176,2002,Republic of Bashkortostan,1.7,38.1,10.4,0.2,0.1
177,2002,Belgorod Oblast,3.3,23.2,9.4,0.9,0.1
178,2002,Bryansk Oblast,3.3,38.9,8.5,0.4,0.1
179,2002,Republic of Buryatia,2.3,21,19.9,0.6,0.1
180,2002,Vladimir Oblast,2.8,41.5,15.6,0.8,0.2
181,2002,Volgograd Oblast,2.4,43.9,13.2,1.6,0.4
182,2002,Vologda Oblast,11.7,51.9,22.2,0.4,0.5
183,2002,Voronezh Oblast,2.8,41.9,10.5,1.3,0.2
184,2002,Republic of Dagestan,2.7,9.6,4.9,0.6,0.2
185,2002,Jewish Autonomous Oblast,4.1,26.8,7.6,0.4,0.1
186,2002,Zabaykalsky Krai,4.7,31.3,10.9,0.5,0.1
187,2002,Ivanovo Oblast,3.7,61.2,16.7,0.6,0.2
188,2002,Republic of Ingushetia,7.5,8.7,4.3,0.8,0.8
189,2002,Irkutsk Oblast,8.1,47.8,10.8,1.1,0.4
190,2002,Kabardino-Balkar Republic,3.7,31.5,13.9,0.7,0.7
191,2002,Kaliningrad Oblast,2.4,64.5,17.3,1.3,0.9
192,2002,Republic of Kalmykia,4.1,20.9,15,1.5,0.1
193,2002,Kaluga Oblast,2.6,50.6,12.2,0.8,0.2
194,2002,Kamchatka Krai,7.3,35.3,25.9,1.2,0.5
195,2002,Karachay-Cherkess Republic,2.7,13.2,14.3,0.2,0.1
196,2002,Republic of Karelia,9.3,33.6,12.4,0.4,0.2
197,2002,Kemerovo Oblast,3,30.8,20.2,0.9,0.3
198,2002,Kirov Oblast,4.5,27.3,14.9,0.5,0.1
199,2002,Kostroma Oblast,3.2,27.1,16.9,0.5,0.1
200,2002,Krasnodar Krai,7.9,50.1,7.9,1.3,0.5
201,2002,Krasnoyarsk Krai,5.2,67.4,15.3,1.4,0.6
202,2002,Republic of Crimea,,,,,
203,2002,Kurgan Oblast,2.7,37.9,11.7,0.5,0.1
204,2002,Kursk Oblast,1.8,53.8,6.7,0.5,0.1
205,2002,Leningrad Oblast,7.1,65.3,20.4,2.3,0.6
206,2002,Lipetsk Oblast,2.5,49.5,10,0.7,0.2
207,2002,Magadan Oblast,4,33,18.9,1.4,0.2
208,2002,Mari El Republic,2.9,23.8,11.7,0.4,0.1
209,2002,Republic of Mordovia,2.5,22,10,0.3,0.1
210,2002,Moscow,4.8,85.7,20.8,4,0.9
211,2002,Moscow Oblast,3.6,29.4,16.9,0.7,0.4
212,2002,Murmansk Oblast,5.3,40,20.9,1.9,0.6
213,2002,Nenets Autonomous Okrug,8.1,76.1,29.5,1.5,1.2
214,2002,Nizhny Novgorod Oblast,5.2,39.8,10.6,1,0.2
215,2002,Novgorod Oblast,5,37.1,13.1,0.5,0.2
216,2002,Novosibirsk Oblast,3,47.7,19.9,1,0.3
217,2002,Omsk Oblast,4.9,84.2,13.9,0.6,0.3
218,2002,Orenburg Oblast,2.3,34.2,10.9,0.7,0.2
219,2002,Oryol Oblast,3.7,29.4,11.1,1.2,0.3
220,2002,Penza Oblast,5.7,32.3,6.9,0.4,0.1
221,2002,Perm Krai,5.6,58.2,17.4,0.8,0.4
222,2002,Primorsky Krai,1.6,28.3,16,0.6,0.1
223,2002,Pskov Oblast,10.3,46.3,10.8,0.6,0.1
224,2002,Altai Republic,5.7,30.9,10.1,1,0.1
225,2002,Komi Republic,7.6,33.9,28.4,0.9,0.5
226,2002,Tuva Republic,2,23.3,13.5,0.2,0.1
227,2002,Rostov Oblast,4,44.7,7,1.5,0.3
228,2002,Ryazan Oblast,2.8,43.2,12.4,1.3,0.1
229,2002,Samara Oblast,1.8,38.6,8,1.2,0.2
230,2002,Saint Petersburg,6.3,104.6,17.2,2.6,0.9
231,2002,Saratov Oblast,3.2,28.1,9.2,0.9,0.2
232,2002,Sakhalin Oblast,5.3,37.5,24.5,1.6,0.5
233,2002,Sverdlovsk Oblast,6.1,52.1,15.4,1,0.5
234,2002,Sevastopol,,,,,
235,2002,Republic of North Ossetia-Alania,1,14.9,8.5,1.2,0.1
236,2002,Smolensk Oblast,8.7,96.2,25.4,1.4,0.2
237,2002,Stavropol Krai,6,32.7,11.7,1.2,0.4
238,2002,Tambov Oblast,2.5,27.9,13.9,1.4,0.3
239,2002,Republic of Tatarstan,2.2,29.1,15.4,0.6,0.1
240,2002,Tver Oblast,6.1,40,21.2,1.2,0.2
241,2002,Tomsk Oblast,7.9,36.5,16.5,0.9,0.3
242,2002,Tula Oblast,3.5,46.3,13.2,0.7,0.2
243,2002,Tyumen Oblast,5.8,77,23.3,1,0.6
244,2002,Udmurt Republic,2.7,29.4,13.7,0.4,0.1
245,2002,Ulyanovsk Oblast,2.1,44.8,9.1,0.5,0.2
246,2002,Khabarovsk Krai,4.5,31.8,17.1,0.7,0.3
247,2002,Republic of Khakassia,4.4,56.3,15.8,1.5,0.6
248,2002,Khanty–Mansi Autonomous Okrug – Yugra,5.8,77,23.3,1,0.6
249,2002,Chelyabinsk Oblast,4.1,55.7,16.8,1.1,0.5
250,2002,Chechen Republic,,,,,
251,2002,Chuvash Republic,3,31.7,11.1,0.5,0.2
252,2002,Chukotka Autonomous Okrug,1.9,6.4,13.3,1.6,0.3
253,2002,Sakha (Yakutia) Republic,3.6,16.3,16.1,1.1,0.3
254,2002,Yamalo-Nenets Autonomous Okrug,5.8,77,23.3,1,0.6
255,2002,Yaroslavl Oblast,4.5,90.1,20.3,1,0.3
256,2003,Republic of Adygea,4.3,36.2,8,1,0.5
257,2003,Altai Krai,1.7,47.7,11.5,1.1,0.1
258,2003,Amur Oblast,5.3,40.4,17.4,0.6,0.2
259,2003,Arkhangelsk Oblast,9.2,109,31.9,1.7,1.3
260,2003,Astrakhan Oblast,4.5,48.3,12.4,0.9,0.2
261,2003,Republic of Bashkortostan,1.5,25,8.3,0.3,0.2
262,2003,Belgorod Oblast,2.7,25.8,9.7,0.9,0.1
263,2003,Bryansk Oblast,4,33.9,8.7,0.5,0.1
264,2003,Republic of Buryatia,4.2,32.8,13.9,0.4,0.1
265,2003,Vladimir Oblast,3.2,43.7,15.4,0.9,0.2
266,2003,Volgograd Oblast,2.7,46.7,13.2,1.8,0.5
267,2003,Vologda Oblast,18.1,61.7,24.6,0.4,0.6
268,2003,Voronezh Oblast,3.1,38.2,10.8,1.1,0.3
269,2003,Republic of Dagestan,2.9,9.7,8.7,1.2,0.2
270,2003,Jewish Autonomous Oblast,5.1,39,6.4,0.5,0.2
271,2003,Zabaykalsky Krai,5.9,38.1,12.4,0.6,0.1
272,2003,Ivanovo Oblast,5.2,61.6,15.4,0.6,0.2
273,2003,Republic of Ingushetia,6,8.9,4.6,0.8,0.5
274,2003,Irkutsk Oblast,7.4,51.5,10.2,1,0.3
275,2003,Kabardino-Balkar Republic,4.4,39.4,12.8,0.8,0.7
276,2003,Kaliningrad Oblast,11.3,80.8,20,1.4,1.1
277,2003,Republic of Kalmykia,4.3,24.4,15.4,1.4,0.1
278,2003,Kaluga Oblast,3,71.2,9,0.9,0.3
279,2003,Kamchatka Krai,7.4,39.1,25.1,1.8,1.2
280,2003,Karachay-Cherkess Republic,3.7,14.9,14.9,0.2,0.2
281,2003,Republic of Karelia,13.5,31.1,14.2,0.6,0.2
282,2003,Kemerovo Oblast,4.2,36.9,20.1,1.1,0.3
283,2003,Kirov Oblast,7.2,33.4,13.5,0.6,0.1
284,2003,Kostroma Oblast,4.2,28,16.5,0.5,0.1
285,2003,Krasnodar Krai,8.7,53.3,7.9,1.4,0.4
286,2003,Krasnoyarsk Krai,5.6,72.3,15.5,1.3,0.6
287,2003,Republic of Crimea,,,,,
288,2003,Kurgan Oblast,3.5,42.6,9.2,0.4,0.1
289,2003,Kursk Oblast,3.3,67.8,7.5,1.1,0.3
290,2003,Leningrad Oblast,8.1,66.3,18.5,2.2,0.6
291,2003,Lipetsk Oblast,2.7,54.9,10.1,0.7,0.2
292,2003,Magadan Oblast,4.8,43.2,18.4,1.8,0.4
293,2003,Mari El Republic,4.4,27.1,12.3,0.4,0.2
294,2003,Republic of Mordovia,3.5,25.9,9.4,0.3,0.1
295,2003,Moscow,6.2,89.1,23,4.1,0.9
296,2003,Moscow Oblast,4,29.6,20.5,0.8,0.4
297,2003,Murmansk Oblast,6,41.3,21.3,2.1,0.7
298,2003,Nenets Autonomous Okrug,9.2,109,31.9,1.7,1.3
299,2003,Nizhny Novgorod Oblast,5.8,44.8,11.1,1.1,0.2
300,2003,Novgorod Oblast,5.5,34.2,13.2,0.4,0.2
301,2003,Novosibirsk Oblast,3.5,61.5,20.4,1,0.3
302,2003,Omsk Oblast,3.9,97.3,14.6,0.5,0.3
303,2003,Orenburg Oblast,2.5,28.7,8.5,0.6,0.2
304,2003,Oryol Oblast,3.8,32.8,10.6,1.4,0.3
305,2003,Penza Oblast,7.7,34.2,7.8,0.6,0.1
306,2003,Perm Krai,6.8,55.7,16.5,0.9,0.4
307,2003,Primorsky Krai,1.7,28.5,16.2,0.7,0.2
308,2003,Pskov Oblast,13.5,52.9,10.9,0.6,0.1
309,2003,Altai Republic,6.4,25.9,10.6,1,0.1
310,2003,Komi Republic,8.3,44.4,29.7,0.8,0.5
311,2003,Tuva Republic,2.1,25,14.7,0.2,0.1
312,2003,Rostov Oblast,4.4,51.1,6.9,1.5,0.3
313,2003,Ryazan Oblast,2.9,46.5,12.5,1.2,0.2
314,2003,Samara Oblast,2.1,43.5,7.9,1.1,0.3
315,2003,Saint Petersburg,6.6,105.6,14.3,2.8,1
316,2003,Saratov Oblast,3,41.3,8.3,0.8,0.2
317,2003,Sakhalin Oblast,5.2,38,23.2,1.4,0.7
318,2003,Sverdlovsk Oblast,7.2,56.9,15.2,1,0.5
319,2003,Sevastopol,,,,,
320,2003,Republic of North Ossetia-Alania,0.2,14.5,7.6,1.1,0.1
321,2003,Smolensk Oblast,8.8,92.3,25.6,1.5,0.3
322,2003,Stavropol Krai,6.1,41.1,10,1.2,0.5
323,2003,Tambov Oblast,2.4,36,14.5,1.2,0.3
324,2003,Republic of Tatarstan,2.7,42.3,14.9,0.7,0.2
325,2003,Tver Oblast,6.8,41.8,19.3,1.7,0.2
326,2003,Tomsk Oblast,7.8,43.3,17.4,1.5,0.4
327,2003,Tula Oblast,3.5,41.1,12.6,0.6,0.2
328,2003,Tyumen Oblast,5,93.3,18.6,1.2,0.5
329,2003,Udmurt Republic,3.8,34.2,12.9,0.3,0.1
330,2003,Ulyanovsk Oblast,4.1,42.5,10.5,0.7,0.3
331,2003,Khabarovsk Krai,3.8,47.4,15.2,0.7,0.4
332,2003,Republic of Khakassia,6.4,61.2,14.8,1.6,0.5
333,2003,Khanty–Mansi Autonomous Okrug – Yugra,5,93.3,18.6,1.2,0.5
334,2003,Chelyabinsk Oblast,4.7,65.1,16.4,1.2,0.7
335,2003,Chechen Republic,,,,,
336,2003,Chuvash Republic,3.6,33.8,12.5,0.5,0.2
337,2003,Chukotka Autonomous Okrug,3.8,12.3,12.3,1.6,0.9
338,2003,Sakha (Yakutia) Republic,4.7,25,16,1.2,0.3
339,2003,Yamalo-Nenets Autonomous Okrug,5,93.3,18.6,1.2,0.5
340,2003,Yaroslavl Oblast,3.8,62.3,18.6,0.5,0.1
341,2004,Republic of Adygea,4.1,27.5,8.6,1,0.3
342,2004,Altai Krai,2,52.4,14.2,1.3,0.2
343,2004,Amur Oblast,5.2,44.8,18.1,0.6,0.2
344,2004,Arkhangelsk Oblast,7,51.8,18.5,1.3,0.5
345,2004,Astrakhan Oblast,4.8,58,12.9,0.9,0.2
346,2004,Republic of Bashkortostan,1.2,35.4,9.2,0.3,0.2
347,2004,Belgorod Oblast,3.1,35.1,10,1.1,0.1
348,2004,Bryansk Oblast,5.7,32.5,8.6,0.5,0.1
349,2004,Republic of Buryatia,6.3,35.7,12.2,0.4,0.1
350,2004,Vladimir Oblast,3.7,54,17.3,1,0.2
351,2004,Volgograd Oblast,3.3,55.3,12.5,1.9,0.5
352,2004,Vologda Oblast,14.2,85.1,26.7,0.6,0.7
353,2004,Voronezh Oblast,3.4,41.2,12.6,1.3,0.4
354,2004,Republic of Dagestan,2.8,6.6,9.5,1.5,0.3
355,2004,Jewish Autonomous Oblast,4.4,51.1,7.4,0.3,0.2
356,2004,Zabaykalsky Krai,15.7,190.4,40.6,3,1.8
357,2004,Ivanovo Oblast,8,68.1,17.3,0.7,0.4
358,2004,Republic of Ingushetia,6.4,7.4,3.6,0.8,0.8
359,2004,Irkutsk Oblast,5.5,54.7,22.7,1.5,0.7
360,2004,Kabardino-Balkar Republic,4,43.7,12.3,0.8,0.7
361,2004,Kaliningrad Oblast,12.7,84.2,20,1.4,1
362,2004,Republic of Kalmykia,4.3,24.4,15.3,1.4,0.2
363,2004,Kaluga Oblast,4,86.7,11.4,1.3,0.3
364,2004,Kamchatka Krai,7.5,49.2,22.2,2,1.1
